Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
5-20-11,HDFC,EQ,643.85,649.85,663.4,640,657.85,658.85,654.64,1807339,1.18E+14,,1081796,0.5986
5-23-11,HDFC,EQ,658.85,652.45,653.15,640.05,644.2,646.55,647.79,2105817,1.36E+14,,1251279,0.5942
5-24-11,HDFC,EQ,646.55,651.7,659.85,645.05,650.4,649.4,652.5,1977042,1.29E+14,,1252113,0.6333
5-25-11,HDFC,EQ,649.4,650,656.5,641.1,644,644.25,648.52,2245849,1.46E+14,,1134361,0.5051
5-26-11,HDFC,EQ,644.25,645.2,649.9,635,642.5,643.15,642.57,2913164,1.87E+14,,1531640,0.5258
5-27-11,HDFC,EQ,643.15,640.5,658.4,640.5,656.6,656.3,653.08,1935462,1.26E+14,,1152957,0.5957
5-30-11,HDFC,EQ,656.3,658,671.5,658,667.3,668.55,666.15,2256839,1.50E+14,,1459871,0.6469
5-31-11,HDFC,EQ,668.55,669.8,688.8,669.8,684.75,684.05,680.72,3227566,2.20E+14,,2423589,0.7509
6-01-11,HDFC,EQ,684.05,676.55,692.95,676.55,689,689.1,688.38,1204308,8.29E+13,38210,562346,0.4669
6-02-11,HDFC,EQ,689.1,681.05,684.7,676.6,680.25,680,680.53,1100046,7.49E+13,20300,637219,0.5793
6-03-11,HDFC,EQ,680,678.5,683.05,658.25,659.15,660.05,668.24,2170805,1.45E+14,33742,1435985,0.6615
6-06-11,HDFC,EQ,660.05,659.95,674.1,659.15,671,670.65,668.56,2854529,1.91E+14,38749,2007268,0.7032
6-07-11,HDFC,EQ,670.65,668,674.65,662.3,667.35,669.2,669.01,1865334,1.25E+14,35136,1207216,0.6472
6-08-11,HDFC,EQ,669.2,664,669.5,657,658,658.3,661.94,994235,6.58E+13,25118,613214,0.6168
6-09-11,HDFC,EQ,658.3,658,662.4,650.4,655,654.8,655.74,2103369,1.38E+14,38494,1370977,0.6518
6-10-11,HDFC,EQ,654.8,654,658.5,645.55,651,651.5,650.91,2562491,1.67E+14,58246,1861575,0.7265
6-13-11,HDFC,EQ,651.5,649.45,659.5,646.35,659.2,657,653.54,1371393,8.96E+13,31802,827816,0.6036
6-14-11,HDFC,EQ,657,648,655.65,643.5,648,648.4,649.99,2835239,1.84E+14,39292,1289162,0.4547
6-15-11,HDFC,EQ,648.4,647,659.4,646,647.2,648.2,653.37,2358264,1.54E+14,49429,1553040,0.6586
6-16-11,HDFC,EQ,648.2,647.7,655.9,643.1,649,648.1,649.55,2316006,1.50E+14,35971,1600061,0.6909
6-17-11,HDFC,EQ,648.1,654.5,654.5,635.55,639.9,638.65,640.15,1745082,1.12E+14,25877,1050153,0.6018
6-20-11,HDFC,EQ,638.65,640.8,641.95,625.1,630.35,630.05,632.36,4128299,2.61E+14,87883,2942400,0.7127
6-21-11,HDFC,EQ,630.05,633,649.3,631,641,643.05,641.97,1956632,1.26E+14,38941,1165396,0.5956
6-22-11,HDFC,EQ,643.05,639,649,635,647.6,644.65,641.82,1890470,1.21E+14,27771,1319499,0.698
6-23-11,HDFC,EQ,644.65,642.1,645.75,636,638,638.95,640.07,847197,5.42E+13,45880,481102,0.5679
6-24-11,HDFC,EQ,638.95,640.55,670.45,640.55,668.65,668,657.88,3635723,2.39E+14,55301,2462218,0.6772
6-27-11,HDFC,EQ,668,660.5,684.9,660.5,675.15,674.55,678.62,3281812,2.23E+14,70973,2429219,0.7402
6-28-11,HDFC,EQ,674.55,678.1,692,675.5,688.9,689.75,685.25,2608360,1.79E+14,58004,1704503,0.6535
6-29-11,HDFC,EQ,689.75,692.6,699.5,692.6,695.25,696.05,696.81,1739032,1.21E+14,59550,1124731,0.6468
6-30-11,HDFC,EQ,696.05,696.2,709.9,696.2,702.45,706.3,704.09,4189494,2.95E+14,67415,2718595,0.6489
7-01-11,HDFC,EQ,706.3,710.05,712,701.3,702.1,703.3,707.25,1878221,1.33E+14,39442,972868,0.518
7-04-11,HDFC,EQ,703.3,708,710,696.8,700.5,700.75,702.06,1268259,8.90E+13,39145,817285,0.6444
7-05-11,HDFC,EQ,700.75,699.55,703.4,690.15,699.95,700.2,697.55,2090604,1.46E+14,33039,1374841,0.6576
7-06-11,HDFC,EQ,700.2,696.25,714.15,696.25,712.05,710.9,707.52,2985597,2.11E+14,58585,1948343,0.6526
7-07-11,HDFC,EQ,710.9,713.9,726.2,712,723.15,724.4,719.7,2757523,1.98E+14,95688,1779854,0.6455
7-08-11,HDFC,EQ,724.4,726,732.95,712.1,712.65,714.2,724.94,3348765,2.43E+14,88512,1691903,0.5052
7-11-11,HDFC,EQ,714.2,712,715,703,712,709.1,708.02,1847895,1.31E+14,44927,1085396,0.5874
7-12-11,HDFC,EQ,709.1,701.9,709,685.25,686,689.75,698.71,1294273,9.04E+13,33501,651561,0.5034
7-13-11,HDFC,EQ,689.75,695,696.9,683.35,693.15,694.2,688.82,2224857,1.53E+14,36924,1198717,0.5388
7-14-11,HDFC,EQ,694.2,692.8,712,687,700,703.6,700.73,1638519,1.15E+14,35213,671219,0.4096
7-15-11,HDFC,EQ,703.6,701.05,708.7,691.5,693.25,693.8,697.11,1048933,7.31E+13,25384,474357,0.4522
7-18-11,HDFC,EQ,693.8,693.95,702,690.15,701.8,700.7,697.81,1058271,7.38E+13,23073,581499,0.5495
7-19-11,HDFC,EQ,700.7,702,709,695.05,702.55,703.7,702.75,1379200,9.69E+13,32045,714934,0.5184
7-20-11,HDFC,EQ,703.7,708.9,709.05,693.65,696,697.25,701.74,1089228,7.64E+13,38805,652397,0.599
7-21-11,HDFC,EQ,697.25,693,702.35,691.05,697.2,698.55,697.76,652707,4.55E+13,21049,310042,0.475
7-22-11,HDFC,EQ,698.55,704,712,700.05,709.15,707.85,708.23,1160424,8.22E+13,26060,550019,0.474
7-25-11,HDFC,EQ,707.85,703.55,709.9,696.1,707.7,708.2,703.06,1925904,1.35E+14,81905,1267178,0.658
7-26-11,HDFC,EQ,708.2,711.4,714,685.75,696,693.95,694.56,1886011,1.31E+14,56557,1093250,0.5797
7-27-11,HDFC,EQ,693.95,696,705.5,686.25,701.8,703.3,696.81,2428371,1.69E+14,45974,1735293,0.7146
7-28-11,HDFC,EQ,703.3,695.3,696.7,686,686.35,688.35,690.84,2021353,1.40E+14,34539,1263258,0.625
7-29-11,HDFC,EQ,688.35,687,692.9,675.3,692,689,684.86,2421633,1.66E+14,69784,1581405,0.653
8-01-11,HDFC,EQ,689,697.8,707,691.2,692.5,694.6,699.12,1970548,1.38E+14,26066,1358024,0.6892
8-02-11,HDFC,EQ,694.6,690.2,693.15,683,684.7,685,687.22,1280478,8.80E+13,24072,736535,0.5752
8-03-11,HDFC,EQ,685,677.3,684.95,675.3,680.5,679.95,680.02,1053042,7.16E+13,18617,556247,0.5282
8-04-11,HDFC,EQ,679.95,682.6,696.5,673.75,676.9,676.45,685.26,4184042,2.87E+14,41013,2639710,0.6309
8-05-11,HDFC,EQ,676.45,661.3,674,658.9,669.9,664.8,666.13,2760020,1.84E+14,46427,1604496,0.5813
8-08-11,HDFC,EQ,664.8,654,666.2,641,649.85,646.75,652.13,3237082,2.11E+14,57196,1752817,0.5415
8-09-11,HDFC,EQ,646.75,625.05,664.85,624.2,661.9,659,649.38,3673395,2.39E+14,63129,2077927,0.5657
8-10-11,HDFC,EQ,659,672,673.8,660,669,666.15,665.43,2428299,1.62E+14,60572,1495902,0.616
8-11-11,HDFC,EQ,666.15,660,688.65,660,684,683.7,681.58,2884036,1.97E+14,38275,1903392,0.66
8-12-11,HDFC,EQ,683.7,687.9,688.9,663,671,668.75,672.93,2698571,1.82E+14,54723,1805921,0.6692
8-16-11,HDFC,EQ,668.75,677.9,681.45,642,646.4,644.5,656.52,3134178,2.06E+14,55761,2332008,0.7441
8-17-11,HDFC,EQ,644.5,645.1,670.5,645.05,661,660.6,660.86,3374731,2.23E+14,48010,2195961,0.6507
